Name,43F,44F,45F,46F,47F,48F,71F,72F,73F,74F,75F,76F,77F,78F,79F,80F,81F,82F,83F,84F,85F,86F,87F,88F,89F,90F,37F,38F,39F,40F,41F,42F
OTU137,0,0,0,0,1,0,144,72,23,152,167,177,242,184,81,18,137,110,97,225,49,84,34,77,161,29,0,0,0,0,1,0
OTU138,33,69,82,10,77,1,1,98,72,52,0,0,0,9,70,104,0,61,89,2,73,22,40,43,2,51,7,1,13,70,0,6
OTU139,24,97,61,6,70,0,0,72,99,82,0,0,0,36,114,134,0,103,126,7,67,30,58,80,4,61,0,0,22,89,3,4
OTU140,7,27,10,1,13,0,8,358,148,258,16,5,2,93,484,187,3,226,248,22,311,74,142,221,8,55,1,0,9,14,0,0
OTU141,0,0,0,0,0,0,33,22,10,39,61,37,56,47,21,2,31,28,19,61,14,16,12,26,40,6,0,0,0,0,0,0
OTU142,3,1,0,2,2,0,867,101,165,371,1094,1138,1807,1088,75,21,1200,347,129,1782,161,532,223,187,1251,189,0,1,0,0,0,0
OTU143,0,0,0,0,0,0,103,7,27,39,98,92,216,157,7,0,194,46,14,171,14,62,29,15,81,23,0,0,1,0,0,0
OTU144,30,65,50,9,57,0,7,87,90,97,0,2,1,27,110,152,1,99,116,1,74,25,53,81,3,71,2,0,19,88,0,7
OTU145,52,294,145,8,46,1,0,79,88,127,0,1,0,61,239,250,1,153,266,2,136,15,151,155,1,112,4,0,37,50,1,9
OTU146,25,52,26,6,48,0,1,48,45,51,2,0,0,25,88,67,1,64,79,2,50,10,48,48,1,36,3,1,9,59,3,4
OTU147,29,71,59,4,68,0,2,76,88,56,0,0,0,30,98,148,0,82,104,0,72,9,34,65,2,46,0,0,16,72,1,6
OTU148,49,138,94,9,100,0,1,154,179,148,4,3,0,49,174,202,6,196,185,5,117,23,80,124,4,100,4,0,32,123,0,9
OTU149,0,0,0,0,0,0,34,10,11,29,46,47,77,39,9,1,29,17,18,41,9,21,5,17,34,10,0,0,0,0,0,0
OTU150,0,0,0,0,0,0,37,15,6,49,54,48,77,37,19,3,76,33,24,84,8,29,12,9,47,2,0,0,0,0,0,0
OTU151,31,92,39,10,46,1,1,76,96,73,0,0,2,36,102,109,2,102,97,3,63,11,40,58,1,37,5,0,16,60,3,8
OTU152,26,99,73,11,88,0,0,127,140,106,1,1,0,38,160,167,1,103,142,1,77,23,60,102,2,71,6,0,18,83,2,7
OTU153,45,103,60,11,55,0,1,82,126,128,0,1,0,43,123,161,1,126,125,1,73,22,57,96,3,60,4,0,13,74,0,7
OTU154,44,96,92,8,92,0,0,154,107,110,0,5,2,38,185,161,3,108,168,9,80,19,41,98,0,87,4,0,34,82,0,11
OTU155,15,28,18,4,21,0,0,38,50,38,0,0,0,12,44,66,0,32,39,0,21,6,24,22,0,23,1,0,11,36,0,1
OTU156,26,51,31,3,58,0,0,59,62,56,1,0,2,15,67,76,2,73,73,1,44,11,30,35,3,36,3,0,21,36,1,5
OTU157,26,66,69,5,68,0,1,84,89,71,0,0,0,26,116,93,0,69,83,0,44,16,43,74,2,53,4,0,10,55,0,3
OTU158,22,79,47,4,61,0,1,90,84,65,0,0,2,29,105,128,2,77,92,3,65,19,44,89,1,61,4,0,12,69,1,4
OTU159,155,340,209,21,243,2,1,354,414,359,0,4,1,127,442,505,1,389,487,14,254,54,173,331,9,224,12,0,77,293,3,11
OTU160,42,27,18,6,17,0,1,16,25,24,0,0,0,18,90,31,0,78,116,0,17,6,22,25,0,19,0,0,12,15,2,7
OTU161,25,51,58,4,52,1,0,78,63,48,0,0,1,20,54,74,0,45,82,0,53,14,32,42,0,37,1,0,8,53,0,1
OTU162,0,0,0,0,0,0,38,8,4,22,49,47,61,36,15,4,54,12,14,43,16,23,7,21,48,1,0,14,0,0,0,0
OTU163,55,131,80,13,75,0,0,121,144,125,0,1,1,22,145,208,0,159,151,6,105,35,88,84,2,83,3,0,22,85,1,14
OTU164,27,55,35,5,41,2,0,71,89,64,0,0,0,19,70,61,0,59,70,2,49,8,29,36,10,47,5,0,4,39,4,2
