Name,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU056,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Ligilactobacillus, Lactobacillus murinus
OTU057,Bacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Peptostreptococcaceae, Romboutsia, Romboutsia ilealis
OTU058,Bacteria, Actinobacteriota, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium, Mycobacterium llatzerense
OTU059,Bacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Peptostreptococcaceae, Romboutsia, Romboutsia ilealis
OTU060,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus iners
OTU061,Bacteria, Verrucomicrobiota, Verrucomicrobiae, Verrucomicrobiales, Akkermansiaceae, Akkermansia, Akkermansia muciniphila
OTU062,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Hydrogenophilaceae, Hydrogenophilus, Hydrogenophilus islandicus
OTU063,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Oxalobacteraceae, Massilia, Burkholderia sp. UFLA04-317
OTU064,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Pasteurellaceae, Haemophilus, Haemophilus parainfluenzae T3T1
OTU065,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Novispirillum, Novispirillum itersonii
OTU066,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax soli
OTU067,Bacteria, Bdellovibrionota, Bdellovibrionia, Bacteriovoracales, Bacteriovoracaceae, Peredibacter, Bacteriovorax sp. EPC3
OTU068,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Lysobacter, Xanthomonadaceae bacterium L-bf-PMW-15.1
OTU069,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Oxalobacteraceae, Noviherbaspirillum, Herbaspirillum sp. 1NM-18
OTU070,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Chitinimonadaceae, Chitinimonas, Chitinimonas taiwanensis
OTU071,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Phenylobacterium, Phenylobacterium sp. T2-YC6777
OTU072,Bacteria, Proteobacteria, Alphaproteobacteria, Azospirillales, Azospirillaceae, , Rhodocista sp. SCSIO 13435
OTU073,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Altererythrobacter, Erythrobacteraceae bacterium K-2-3
OTU074,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Pleomorphomonadaceae, Chthonobacter, Alpha proteobacterium oral taxon F61
OTU075,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, Streptococcus danieliae
OTU076,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Limosilactobacillus, Lactobacillus reuteri
OTU077,Bacteria, Proteobacteria, Alphaproteobacteria, Azospirillales, Azospirillaceae, Azospirillum, Azospirillum sp. NCCP-699
OTU078,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus gasseri
OTU079,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Oxalobacteraceae, Noviherbaspirillum, Uncultured bacterium
OTU080,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, Aquabacterium, Aquabacterium citratiphilum
OTU081,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, Aquabacterium, Iron-reducing bacterium enrichment culture clone FEA_2_B7
OTU082,Bacteria, Proteobacteria, Alphaproteobacteria, Azospirillales, Azospirillaceae, , Azospirillum sp. MIMtkN9
OTU083,Bacteria, Firmicutes, Bacilli, Staphylococcales, Staphylococcaceae, Staphylococcus, Staphylococcus sp. ERBC:03
OTU084,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Brevundimonas, Brevundimonas viscosa
OTU085,Bacteria, Firmicutes, Bacilli, Erysipelotrichales, Erysipelotrichaceae, Turicibacter, Turicibacter sp. LA61
OTU086,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Phenylobacterium, Uncultured bacterium
OTU087,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Chromobacteriaceae, Vogesella, Vibrio cholerae
OTU088,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Brevundimonas, Brevundimonas sp
OTU089,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae, Blautia, Uncultured bacterium
OTU090,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus gasseri
OTU091,Bacteria, Actinobacteriota, Actinobacteria, Propionibacteriales, Nocardioidaceae, Nocardioides, Nocardioides sp. OTB57
OTU092,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Uncultured Lactobacillaceae bacterium
OTU093,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Limosilactobacillus, Lactobacillus oris
OTU094,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, Aquabacterium, Aquabacterium parvum
OTU095,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Uncultured Lactobacillaceae bacterium
OTU096,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Limosilactobacillus, Uncultured Lactobacillaceae bacterium
